det,noun,noun_freq,det_freq,observed,expected,pmi,o_over_e
three,officers,60161,571941,238,34.7,2.78,6.9
three,chickens,8745,571941,30,5.0,2.57,6.0
three,priests,12168,571941,35,7.0,2.32,5.0
three,people,1783263,571941,3972,1027.1,1.95,3.9
three,clergy,5879,571941,3,3.4,-0.17,0.9
three,cattle,14364,571941,7,8.3,-0.24,0.8
three,folks,65854,571941,17,37.9,-1.16,0.4
three,poultry,4544,571941,1,2.6,-1.39,0.4
three,youth,49846,571941,10,28.7,-1.52,0.3
three,livestock,6982,571941,1,4.0,-2.01,0.2
three,police,220858,571941,20,127.2,-2.67,0.2
three,vermin,1041,571941,0,0.6,-inf,0.0
many,people,1783263,904039,48153,1623.5,4.89,29.7
many,priests,12168,904039,146,11.1,3.72,13.2
many,folks,65854,904039,783,60.0,3.71,13.1
many,clergy,5879,904039,26,5.4,2.28,4.9
many,officers,60161,904039,252,54.8,2.20,4.6
many,chickens,8745,904039,32,8.0,2.01,4.0
many,cattle,14364,904039,43,13.1,1.72,3.3
many,vermin,1041,904039,2,0.9,1.08,2.1
many,livestock,6982,904039,13,6.4,1.03,2.0
many,youth,49846,904039,86,45.4,0.92,1.9
many,poultry,4544,904039,3,4.1,-0.46,0.7
many,police,220858,904039,74,201.1,-1.44,0.4
several,officers,60161,251581,134,15.2,3.14,8.8
several,priests,12168,251581,20,3.1,2.70,6.5
several,chickens,8745,251581,13,2.2,2.55,5.9
several,clergy,5879,251581,4,1.5,1.43,2.7
several,people,1783263,251581,1155,451.8,1.35,2.6
several,youth,49846,251581,22,12.6,0.80,1.7
several,folks,65854,251581,24,16.7,0.52,1.4
several,poultry,4544,251581,1,1.2,-0.20,0.9
several,livestock,6982,251581,1,1.8,-0.82,0.6
several,cattle,14364,251581,0,3.6,-inf,0.0
several,vermin,1041,251581,0,0.3,-inf,0.0
