noun,det,frame,count,notes
people,three,existential,128,"there [be] three people"
folks,three,existential,2,"there [be] three folks"
cattle,three,existential,0,"there [be] three cattle"
cows,three,existential,1,"there [be] three cows"
people,several,existential,120,"there [be] several people"
folks,several,existential,6,"there [be] several folks"
cattle,several,existential,0,"there [be] several cattle"
cows,several,existential,0,"there [be] several cows"
people,many,existential,1046,"there [be] many people"
folks,many,existential,18,"there [be] many folks"
cattle,many,existential,0,"there [be] many cattle"
cows,many,existential,2,"there [be] many cows"
cattle,three,existential_headof,0,"there [be] three head of cattle"
cattle,bare,existential,6,"there [be] ... cattle (no quantifier)"
