model,rep,item_id,noun,det,construction,item_type,rating
claude,1,c001,people,three,existential,critical,7
claude,1,c002,people,three,agentive,critical,7
claude,1,c003,people,three,existential,critical,7
claude,1,c004,people,three,agentive,critical,7
claude,1,c005,people,three,existential,critical,7
claude,1,c006,people,three,agentive,critical,7
claude,1,c007,people,three,existential,critical,7
claude,1,c008,people,three,agentive,critical,7
claude,1,c009,people,three,existential,critical,7
claude,1,c010,people,three,agentive,critical,7
claude,1,c011,people,three,existential,critical,7
claude,1,c012,people,three,agentive,critical,7
claude,1,c013,people,three,existential,critical,7
claude,1,c014,people,three,agentive,critical,7
claude,1,c015,people,three,existential,critical,7
claude,1,c016,people,three,agentive,critical,7
claude,1,c017,people,three,existential,critical,7
claude,1,c018,people,three,agentive,critical,7
claude,1,c019,people,three,existential,critical,7
claude,1,c020,people,three,agentive,critical,7
claude,1,c021,people,three,existential,critical,7
claude,1,c022,people,three,agentive,critical,7
claude,1,c023,people,three,existential,critical,7
claude,1,c024,people,three,agentive,critical,7
claude,1,c025,people,three,existential,critical,7
claude,1,c026,people,three,agentive,critical,7
claude,1,c027,people,three,existential,critical,7
claude,1,c028,people,three,agentive,critical,7
claude,1,c029,people,three,existential,critical,7
claude,1,c030,people,three,agentive,critical,7
claude,1,c031,people,three,existential,critical,7
claude,1,c032,people,three,agentive,critical,7
claude,1,c033,people,several,existential,critical,7
claude,1,c034,people,several,agentive,critical,7
claude,1,c035,people,several,existential,critical,7
claude,1,c036,people,several,agentive,critical,7
claude,1,c037,people,several,existential,critical,7
claude,1,c038,people,several,agentive,critical,7
claude,1,c039,people,several,existential,critical,7
claude,1,c040,people,several,agentive,critical,7
claude,1,c041,people,several,existential,critical,7
claude,1,c042,people,several,agentive,critical,7
claude,1,c043,people,several,existential,critical,7
claude,1,c044,people,several,agentive,critical,7
claude,1,c045,people,several,existential,critical,7
claude,1,c046,people,several,agentive,critical,7
claude,1,c047,people,several,existential,critical,7
claude,1,c048,people,several,agentive,critical,7
claude,1,c049,people,several,existential,critical,7
claude,1,c050,people,several,agentive,critical,7
claude,1,c051,people,several,existential,critical,7
claude,1,c052,people,several,agentive,critical,7
claude,1,c053,people,several,existential,critical,7
claude,1,c054,people,several,agentive,critical,7
claude,1,c055,people,several,existential,critical,7
claude,1,c056,people,several,agentive,critical,7
claude,1,c057,people,several,existential,critical,7
claude,1,c058,people,several,agentive,critical,7
claude,1,c059,people,several,existential,critical,7
claude,1,c060,people,several,agentive,critical,7
claude,1,c061,people,several,existential,critical,7
claude,1,c062,people,several,agentive,critical,7
claude,1,c063,people,several,existential,critical,7
claude,1,c064,people,several,agentive,critical,7
claude,1,c065,folks,three,existential,critical,5
claude,1,c066,folks,three,agentive,critical,5
claude,1,c067,folks,three,existential,critical,5
claude,1,c068,folks,three,agentive,critical,5
claude,1,c069,folks,three,existential,critical,5
claude,1,c070,folks,three,agentive,critical,5
claude,1,c071,folks,three,existential,critical,5
claude,1,c072,folks,three,agentive,critical,5
claude,1,c073,folks,three,existential,critical,5
claude,1,c074,folks,three,agentive,critical,5
claude,1,c075,folks,three,existential,critical,5
claude,1,c076,folks,three,agentive,critical,5
claude,1,c077,folks,three,existential,critical,5
claude,1,c078,folks,three,agentive,critical,5
claude,1,c079,folks,three,existential,critical,5
claude,1,c080,folks,three,agentive,critical,5
claude,1,c081,folks,three,existential,critical,5
claude,1,c082,folks,three,agentive,critical,5
claude,1,c083,folks,three,existential,critical,5
claude,1,c084,folks,three,agentive,critical,5
claude,1,c085,folks,three,existential,critical,5
claude,1,c086,folks,three,agentive,critical,5
claude,1,c087,folks,three,existential,critical,5
claude,1,c088,folks,three,agentive,critical,5
claude,1,c089,folks,three,existential,critical,5
claude,1,c090,folks,three,agentive,critical,5
claude,1,c091,folks,three,existential,critical,5
claude,1,c092,folks,three,agentive,critical,5
claude,1,c093,folks,three,existential,critical,5
claude,1,c094,folks,three,agentive,critical,5
claude,1,c095,folks,three,existential,critical,5
claude,1,c096,folks,three,agentive,critical,5
claude,1,c097,folks,several,existential,critical,6
claude,1,c098,folks,several,agentive,critical,6
claude,1,c099,folks,several,existential,critical,6
claude,1,c100,folks,several,agentive,critical,6
claude,1,c101,folks,several,existential,critical,6
claude,1,c102,folks,several,agentive,critical,6
claude,1,c103,folks,several,existential,critical,6
claude,1,c104,folks,several,agentive,critical,6
claude,1,c105,folks,several,existential,critical,6
claude,1,c106,folks,several,agentive,critical,6
claude,1,c107,folks,several,existential,critical,6
claude,1,c108,folks,several,agentive,critical,6
claude,1,c109,folks,several,existential,critical,6
claude,1,c110,folks,several,agentive,critical,6
claude,1,c111,folks,several,existential,critical,6
claude,1,c112,folks,several,agentive,critical,6
claude,1,c113,folks,several,existential,critical,6
claude,1,c114,folks,several,agentive,critical,6
claude,1,c115,folks,several,existential,critical,6
claude,1,c116,folks,several,agentive,critical,6
claude,1,c117,folks,several,existential,critical,6
claude,1,c118,folks,several,agentive,critical,6
claude,1,c119,folks,several,existential,critical,6
claude,1,c120,folks,several,agentive,critical,6
claude,1,c121,folks,several,existential,critical,6
claude,1,c122,folks,several,agentive,critical,6
claude,1,c123,folks,several,existential,critical,6
claude,1,c124,folks,several,agentive,critical,6
claude,1,c125,folks,several,existential,critical,6
claude,1,c126,folks,several,agentive,critical,6
claude,1,c127,folks,several,existential,critical,6
claude,1,c128,folks,several,agentive,critical,6
claude,1,fg01,NA,NA,NA,filler_good,7
claude,1,fg02,NA,NA,NA,filler_good,7
claude,1,fg03,NA,NA,NA,filler_good,7
claude,1,fg04,NA,NA,NA,filler_good,7
claude,1,fg05,NA,NA,NA,filler_good,7
claude,1,fg06,NA,NA,NA,filler_good,7
claude,1,fg07,NA,NA,NA,filler_good,7
claude,1,fg08,NA,NA,NA,filler_good,7
claude,1,fg09,NA,NA,NA,filler_good,7
claude,1,fg10,NA,NA,NA,filler_good,7
claude,1,fg11,NA,NA,NA,filler_good,7
claude,1,fg12,NA,NA,NA,filler_good,7
claude,1,fm01,NA,NA,NA,filler_mild,3
claude,1,fm02,NA,NA,NA,filler_mild,3
claude,1,fm03,NA,NA,NA,filler_mild,4
claude,1,fm04,NA,NA,NA,filler_mild,4
claude,1,fm05,NA,NA,NA,filler_mild,3
claude,1,fm06,NA,NA,NA,filler_mild,3
claude,1,fm07,NA,NA,NA,filler_mild,7
claude,1,fm08,NA,NA,NA,filler_mild,7
claude,1,fm09,NA,NA,NA,filler_mild,7
claude,1,fm10,NA,NA,NA,filler_mild,6
claude,1,fm11,NA,NA,NA,filler_mild,7
claude,1,fm12,NA,NA,NA,filler_mild,6
claude,1,fd01,NA,NA,NA,filler_degraded,3
claude,1,fd02,NA,NA,NA,filler_degraded,3
claude,1,fd03,NA,NA,NA,filler_degraded,2
claude,1,fd04,NA,NA,NA,filler_degraded,1
